#eta  dep  379415-380237  380005-380305  380306-380465  380466-380859  380860-380962  380963-381150  381151-381383  381384-381983  381984-382593  382594-382768  382769-382936  382937-383322  383323-383484  383485-383691  383692-383810
21    6    1.01986        1.02106        1.02233        1.0236         1.01417        1.01473        1.01576        1.01715        1.01865        1.01999        1.02128        1.0227         1.02416        1.02548        1.02669
22    1    0.966822       0.969932       0.973169       0.976442       0.929538       0.930891       0.933461       0.936938       0.940682       0.944014       0.947252       0.950824       0.954515       0.957856       0.960906
22    2    0.966944       0.970055       0.973292       0.976565       0.929745       0.931098       0.933669       0.937147       0.940891       0.944224       0.947463       0.951035       0.954728       0.95807        0.96112
22    3    1.01136        1.01257        1.01381        1.01508        1.00057        1.00112        1.00214        1.00352        1.005          1.00632        1.0076         1.009          1.01044        1.01175        1.01294
22    4    1.01141        1.01262        1.01386        1.01513        1.00055        1.0011         1.00212        1.0035         1.00498        1.0063         1.00758        1.00898        1.01043        1.01173        1.01292
22    5    1.01137        1.01258        1.01382        1.01509        1.00056        1.00111        1.00213        1.00351        1.00499        1.00631        1.00759        1.00899        1.01044        1.01174        1.01293
22    6    1.00988        1.01108        1.01232        1.01359        0.999068       0.999612       1.00063        1.00201        1.00349        1.00481        1.00608        1.00748        1.00892        1.01023        1.01142
23    1    0.958546       0.962023       0.96565        0.969312       0.911373       0.912867       0.915714       0.919564       0.923706       0.927399       0.930984       0.934943       0.939043       0.942752       0.946138
23    2    0.958682       0.962159       0.965786       0.969449       0.911509       0.913003       0.91585        0.919702       0.923844       0.927537       0.931123       0.935083       0.939183       0.942893       0.94628
23    3    1.015          1.01661        1.01828        1.01998        1.00456        1.00529        1.00666        1.00851        1.0105         1.01227        1.01398        1.01586        1.01781        1.01957        1.02117
23    4    1.01507        1.01668        1.01835        1.02005        1.00465        1.00538        1.00675        1.00859        1.01059        1.01236        1.01407        1.01595        1.0179         1.01965        1.02126
23    5    1.01499        1.0166         1.01827        1.01997        1.00452        1.00525        1.00662        1.00847        1.01046        1.01223        1.01394        1.01582        1.01777        1.01953        1.02113
